BLDG|NAME|ADDRESS|CITY|STATE|ROOMS
1|University Auditorium|333 NEWELL DR|GAINESVILLE|FL|100
2|Linton E. Grinter Hall|1523 UNION RD|GAINESVILLE|FL|238
3|Col. Edgar S. Walker Hall|1489 UNION RD|GAINESVILLE|FL|101
4|George Peabody Hall|1500 UNION RD|GAINESVILLE|FL|182
5|George S. Smathers Library|1508 UNION RD|GAINESVILLE|FL|182
6|Nathan P. Bryan Hall|1384 UNION RD|GAINESVILLE|FL|181
7|James N. Anderson Hall|1507 W UNIVERSITY AV|GAINESVILLE|FL|174
8|Keene-Flint Hall|80 NEWELL DR|GAINESVILLE|FL|159
9|Townes R. Leigh Hall|165 BUCKMAN DR|GAINESVILLE|FL|257
10|B.H. Griffin - W.L. Floyd Hall|230 NEWELL DR|GAINESVILLE|FL|125
11|Annie D. Broward Hall|680 BROWARD DR|GAINESVILLE|FL|221
12|Peter Rolfs Hall|341 BUCKMAN DR|GAINESVILLE|FL|110
13|Wilmon E. Newell Hall|1700 STADIUM RD|GAINESVILLE|FL|150
14|Kathryn Chicone Ustler Hall|162 FLETCHER DR|GAINESVILLE|FL|63
15|Henry H. Buckman Hall|132 BUCKMAN DR|GAINESVILLE|FL|9
16|Andrew Sledd Hall|191 FLETCHER DR|GAINESVILLE|FL|30
17|William R. Thomas Hall|133 FLETCHER DR|GAINESVILLE|FL|21
18|Infirmary|280 FLETCHER DR|GAINESVILLE|FL|255
19|Farrior Hall|205 FLETCHER DR|GAINESVILLE|FL|132
20|Mary M. Reid Hall|1316 MUSEUM RD|GAINESVILLE|FL|189
21|Florida Gymnasium|1864 STADIUM RD|GAINESVILLE|FL|441
22|William G. Carleton Auditorium|1475 UNION RD|GAINESVILLE|FL|10
23|Gen. James A. Van Fleet Hall|2074 STADIUM RD|GAINESVILLE|FL|64
24|Joseph Weil Hall|1949 STADIUM RD|GAINESVILLE|FL|465
25|Chilled Water Plant #1|449 GALE LEMERAND DR|GAINESVILLE|FL|15
26|John J. Tigert Hall|300 SW 13TH ST|GAINESVILLE|FL|337
27|University Police|1555 MUSEUM RD|GAINESVILLE|FL|36
28|Chemistry Laboratory|125 BUCKMAN DR|GAINESVILLE|FL|266
29|David Stuzin Hall|1454 UNION RD|GAINESVILLE|FL|225
30|Rae O. Weimer Hall|1885 STADIUM RD|GAINESVILLE|FL|454
31|Marshall M. Criser Hall|1478 UNION RD|GAINESVILLE|FL|251
32|Hub|1765 STADIUM RD|GAINESVILLE|FL|217
33|Engineering|1064 CENTER DR|GAINESVILLE|FL|377
34|UF Information|357 FLETCHER DR|GAINESVILLE|FL|5
35|Computer Power Supply|343 FLETCHER DR|GAINESVILLE|FL|3
36|University Press|15 NW 15TH STREET|GAINESVILLE|FL|24
37|S.U.S. Press|15 NW 15TH STREET|GAINESVILLE|FL|17
38|T.W. Bryant Space Science Ctr|1772 STADIUM RD|GAINESVILLE|FL|216
39|Nancy W. Yulee Hall|1358 MUSEUM RD|GAINESVILLE|FL|40
40|CNS Generator|331 FLETCHER DR|GAINESVILLE|FL|1
41|Angela Mallory Hall|1367 INNER RD|GAINESVILLE|FL|64
42|Computer Sciences/Engineering|432 NEWELL DR|GAINESVILLE|FL|311
43|Robert Marston Science Library|444 NEWELL DR|GAINESVILLE|FL|159
44|Greenhouse, Grounds|2908 RADIO RD|GAINESVILLE|FL|4
45|Benjamin A. Tolbert Hall|2087 STADIUM RD|GAINESVILLE|FL|90
46|Greenhouse|2908 RADIO RD|GAINESVILLE|FL|3
47|Greenhouse, Plant Pathology|1447 SABAL PALM DR|GAINESVILLE|FL|1
48|CWP #1 Weil Cooling Towers|503 GALE LEMERAND DR|GAINESVILLE|FL|1
49|CWP #3 Walker Cooling Towers|1453 UNION RD|GAINESVILLE|FL|3
50|North Hall|2063 STADIUM RD|GAINESVILLE|FL|37
51|University Police Annex #1|1521 MUSEUM RD|GAINESVILLE|FL|34
52|Harold C. Riker Hall|2069 STADIUM RD|GAINESVILLE|FL|77
53|Rudolf Weaver Hall|562 GALE LEMERAND DR|GAINESVILLE|FL|70
54|Gerson Hall|1368 UNION RD|GAINESVILLE|FL|124
55|Greenhouse, Plant Pathology|1447 SABAL PALM DR|GAINESVILLE|FL|1
56|IFAS Restroom|UNK|GAINESVILLE|FL|1
57|Facilities Office|2307 MOWRY RD|GAINESVILLE|FL|6
58|IFAS Comm Services Storage|1494 SABAL PALM DR|GAINESVILLE|FL|5
59|Mcknight Brain Institute|1149 NEWELL DR|GAINESVILLE|FL|698
60|IFAS Communication Services|1408 SABAL PALM DR|GAINESVILLE|FL|34
61|CSE Generator|UNK|GAINESVILLE|FL|1
63|IFAS Office / Lab|1501 DATE PALM RD|GAINESVILLE|FL|10
64|Hough Hall|1404 UNION RD|GAINESVILLE|FL|183
65|Heavener Hall|1325 W UNIVERSITY AVE|GAINESVILLE|FL|5
67|Observatory|998 SWEETWATER DR|GAINESVILLE|FL|1
68|Research Laboratory|2043 IFAS RESEARCH DR|GAINESVILLE|FL|20
69|IFAS Communication Services|2343 MOWRY RD|GAINESVILLE|FL|35
70|Nanoscale Research Facility|1041 CENTER DR|GAINESVILLE|FL|120
71|Field Support|2039 IFAS RESEARCH DR|GAINESVILLE|FL|13
72|Pugh Hall|296 BUCKMAN DR|GAINESVILLE|FL|146
73|Rolfs Elevator Equipment Bldg|341 BUCKMAN DR|GAINESVILLE|FL|1
74|Greenhouse|2475 MEMORIAL RD|GAINESVILLE|FL|2
75|Veterinary Small Animal Hospital|2089 SW 16TH AV|GAINESVILLE|FL|283
77|University Women's Club|324 WOODLAWN DR|GAINESVILLE|FL|11
78|Plant Disease Clinic|2311 MOWRY RD|GAINESVILLE|FL|28
80|Catering Service Building|UNK|GAINESVILLE|FL|1
81|Counseling and Wellness Center|3190 RADIO RD|GAINESVILLE|FL|149
82|Cogeneration Plant|1928 MOWRY RD|GAINESVILLE|FL|1
83|Bat House 1|UNK|GAINESVILLE|FL|1
85|Agronomy Physiology Lab|1447 SABAL PALM DR|GAINESVILLE|FL|17
87|Teaching Support|1736 MCCARTY DR|GAINESVILLE|FL|10
88|Greenhouse, Plant Pathology|1447 SABAL PALM DR|GAINESVILLE|FL|1
90|Greenhouse, Plant Pathology|1447 SABAL PALM DR|GAINESVILLE|FL|1
91|O'Connell Ctr Storage|2132 STADIUM RD|GAINESVILLE|FL|3
92|Physics Building|2001 MUSEUM RD|GAINESVILLE|FL|496
93|Florida Outdoor Pool|150 FLETCHER DR|GAINESVILLE|FL|2
94|Stephen C. O'Connell Center|250 GALE LEMERAND DR|GAINESVILLE|FL|232
95|Wayne and Jimmie Carse Swim/Dive|2092 STADIUM RD|GAINESVILLE|FL|33
96|Storage Bldg|2668 HULL RD|GAINESVILLE|FL|1
97|Equipment Storage|1447 SABAL PALM DR|GAINESVILLE|FL|1
98|O'Connell Warmup Pool Plant|2048 STADIUM RD|GAINESVILLE|FL|3
99|Microkelvin Laboratory|1819 STADIUM RD|GAINESVILLE|FL|19
100|Robert C. Williamson Hall|1843 STADIUM RD|GAINESVILLE|FL|227
101|James W. Norman Hall|1221 SW 5TH AV|GAINESVILLE|FL|318
102|James W. Norman Gym|624 SW 12TH ST|GAINESVILLE|FL|38
103|James W. Norman Hall Addition|618 SW 12TH ST|GAINESVILLE|FL|351
105|The 105 Classroom Building|105 NW 16th ST|GAINESVILLE|FL|109
106|Office Building|2295 MOWRY RD|GAINESVILLE|FL|24
107|Field Lab, Forestry|1502 DATE PALM RD|GAINESVILLE|FL|12
108|Greenhouse, FLMNH|3065 Radio Rd|GAINESVILLE|FL|1
109|FLMNH Pole Barn|3073 RADIO RD|GAINESVILLE|FL|8
110|Steinbrenner Band Hall|1556 INNER RD|GAINESVILLE|FL|35
111|Manning J. Dauer Hall|228 BUCKMAN DR|GAINESVILLE|FL|305
113|Greenhouse, Soils|1738 STADIUM RD|GAINESVILLE|FL|1
114|Lab of Southeastern Archeology|3097 RADIO RD|GAINESVILLE|FL|12
116|IFAS Communication Services|2322 MOWRY RD|GAINESVILLE|FL|27
117|Music Building|435 NEWELL DR|GAINESVILLE|FL|149
118|Vet Med Isolation Barn|2195 MOWRY RD|GAINESVILLE|FL|8
120|Aquatic Food Prod. Pilot Plant|520 NEWELL DR|GAINESVILLE|FL|58
124|Facilities Office|1390 DATE PALM RD|GAINESVILLE|FL|32
125|Scott Linder Tennis Stadium|2337 SW 2ND AV|GAINESVILLE|FL|8
127|Presidents Residence|2151 W UNIVERSITY AVE|GAINESVILLE|FL|58
